code,name,type,icao_state,country,iso2,eurocontrol_member,eurocontrol_entry,fab,min_fl,max_fl,airac_cfmu,source_features
KZDCUIR,WASHINGTON,UIR,KZ,,,false,,,180,999,524,1
KZDVFIR,DENVER,FIR,KZ,,,false,,,0,180,524,1
KZDVUIR,DENVER,UIR,KZ,,,false,,,180,999,524,1
KZFWFIR,FT WORTH,FIR,KZ,,,false,,,0,180,524,1
KZFWUIR,FT WORTH,UIR,KZ,,,false,,,180,999,524,1
KZHUFIR,HOUSTON FIR,FIR,KZ,,,false,,,0,999,524,1
KZIDFIR,INDIANAPOLIS,FIR,KZ,,,false,,,0,180,524,1
KZIDUIR,INDIANAPOLIS,UIR,KZ,,,false,,,180,999,524,1
KZJXFIR,JACKSONVILLE,FIR,KZ,,,false,,,0,180,524,1
KZJXUIR,JACKSONVILLE,UIR,KZ,,,false,,,180,999,524,1
KZKCFIR,KANSAS CITY,FIR,KZ,,,false,,,0,180,524,1
KZKCUIR,KANSAS CITY,UIR,KZ,,,false,,,180,999,524,1
KZLAFIR,LOS ANGELES,FIR,KZ,,,false,,,0,180,524,1
KZLAUIR,LOS ANGELES,UIR,KZ,,,false,,,180,999,524,1
KZLCFIR,SALT LAKE CITY,FIR,KZ,,,false,,,0,180,524,1
KZLCUIR,SALT LAKE CITY,UIR,KZ,,,false,,,180,999,524,1
KZMAFIR,MIAMI FIR / UIR,FIR,KZ,,,false,,,0,999,524,1
KZMEFIR,MEMPHIS,FIR,KZ,,,false,,,0,180,524,1
KZMEUIR,MEMPHIS,UIR,KZ,,,false,,,180,999,524,1
KZMPFIR,MINNEAPOLIS,FIR,KZ,,,false,,,0,180,524,1
KZMPUIR,MINNEAPOLIS,UIR,KZ,,,false,,,180,999,524,1
KZNYFIR,NEW YORK FIR,FIR,KZ,,,false,,,0,180,524,2
KZNYUIR,NEW YORK UIR,UIR,KZ,,,false,,,180,999,524,1
KZOAFIR,OAKLAND FIR,FIR,KZ,,,false,,,0,999,524,1
KZOBFIR,CLEVELAND,FIR,KZ,,,false,,,0,180,524,1
